"Sr_No","Pincode","City","State","Region","Prepaid","COD","REVERSEPICKUP","Pickup"
"1","110001","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"2","110002","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"3","110003","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"4","110004","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"5","110005","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"6","110006","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"7","110007","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"8","110008","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"9","110009","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"10","110010","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"11","110011","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"12","110012","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"13","110013","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"14","110014","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"15","110015","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"16","110016","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"17","110017","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"18","110018","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"19","110019","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"20","110020","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"21","110021","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"22","110022","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"23","110023","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"24","110024","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"25","110025","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"26","110026","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"27","110027","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"28","110028","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"29","110029","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"30","110030","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"31","110031","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"32","110032","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"33","110033","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"34","110034","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"35","110035","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"36","110036","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"37","110037","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"38","110038","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"39","110039","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"40","110040","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"41","110041","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"42","110042","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"43","110043","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"44","110044","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"45","110045","DELHI","DELHI","DELHI","Y","Y","Y","Y"
"46","110046","DELHI","DELHI","DELHI","Y","Y","Y","Y"
